entity,label,occurence
Arsène Lupin,PER,251
Ganimard,PER,77
Devanne,PER,44
Daspry,LOC,39
Varin,PER,37
Lupin,PER,36
Monsieur,PER,36
Herlock Sholmès,PER,33
Louis Lacombe,PER,25
Rozaine,PER,23
Arsène,MISC,21
Velmont,LOC,20
M. Andermatt,PER,19
Danègre,LOC,19
miss Nelly,PER,18
Ah !,MISC,18
Paris,LOC,16
Baudru,PER,16
Floriani,PER,16
Henriette,PER,15
Rouen,LOC,14
Mme Andermatt,PER,14
Thibermesnil,LOC,14
Sûreté,ORG,12
Écho de France,MISC,12
Madame,PER,12
Anglais,LOC,12
Ludovic,MISC,11
Dieu,MISC,10
M. Dudouis,PER,10
Salvator,LOC,10
Imbert,PER,10
Gervaise,PER,10
Victor Danègre,PER,10
Malaquis,MISC,9
Nelly,MISC,8
Dieppe,LOC,8
Amérique,LOC,7
Victor,PER,7
Cahorn,LOC,6
baron Cahorn,PER,6
Santé,LOC,6
Louis XVI,PER,6
Dieuzy,PER,6
Jean Daspry,PER,6
Grimaudan,LOC,6
Horace Velmont,PER,6
R,LOC,5
Jerland,MISC,5
Voyons,PER,5
Watteau,PER,5
H-P,LOC,5
Dépôt,LOC,5
Pierre Onfrey,PER,5
Collier de la Reine,LOC,5
M. Valorbe,PER,5
M. de Dreux,PER,5
Mme de Dreux,PER,5
Andermatt,LOC,5
Alfred Varin,PER,5
Monsieur Andermatt,PER,5
Brawford,LOC,5
comtesse d'Andillot,PER,5
Georges Devanne,PER,5
Bibliothèque nationale,ORG,5
ARSÈNE LUPIN,PER,4
Océan,LOC,4
Andrézy,PER,4
Rubens,PER,4
Caudebec,LOC,4
affaire Cahorn,PER,4
Baudru Désiré,PER,4
Guillaume Berlat,PER,4
boulevard Maillot,LOC,4
Étienne Varin,PER,4
État,LOC,4
Monsieur Lupin,PER,4
Henri IV,PER,4
Reine,PER,3
Raverdan,LOC,3
Rawson,PER,3
Miss Nelly,ORG,3
Seine,LOC,3
République,LOC,3
Réveil,LOC,3
monsieur,PER,3
Folenfant,ORG,3
Crédit Lyonnais,ORG,3
Désiré,PER,3
- Dame,PER,3
Renaud,PER,3
Berlat,PER,3
Amiens,LOC,3
Delivet,PER,3
Massol,PER,3
Mme Renaud,PER,3
Böhmer,PER,3
Rétaux de Villette,PER,3
Raoul,PER,3
Dreux-Soubise,LOC,3
Saint-Martin,PER,3
