entity,label,occurence
Arsène Lupin,PER,252
Ganimard,PER,81
Devanne,PER,40
Monsieur,PER,38
Daspry,PER,38
Lupin,PER,35
Varin,PER,35
Herlock Sholmès,PER,34
Rozaine,PER,27
Louis Lacombe,PER,25
⁂,MISC,22
Nelly,LOC,20
Ah !,MISC,20
Arsène,PER,20
M. Andermatt,PER,20
Velmont,LOC,20
Danègre,PER,19
Paris,LOC,18
Baudru,PER,16
Floriani,PER,16
Henriette,PER,15
Mme Andermatt,PER,15
Thibermesnil,LOC,15
Rouen,LOC,13
Écho de France,MISC,12
Madame,PER,12
Ludovic,LOC,12
Anglais,LOC,12
Sûreté,PER,11
Gervaise,LOC,11
Imbert,MISC,10
Malaquis,MISC,9
Dieu,MISC,9
Victor Danègre,PER,9
Cahorn,LOC,8
Dieppe,LOC,8
Salvator,LOC,8
M. Dudouis,PER,7
Victor,PER,7
M.,PER,6
Amérique,LOC,6
Dieuzy,PER,6
Collier de la Reine,PER,6
M. de Dreux,PER,6
Jean Daspry,PER,6
Andermatt,PER,6
Brawford,LOC,6
Grimaudan,LOC,6
Jerland,LOC,5
Miss Nelly,ORG,5
miss Nelly,ORG,5
Watteau,PER,5
Louis XVI,PER,5
- Dame !,PER,5
H-P,PER,5
Dépôt,LOC,5
Pierre Onfrey,PER,5
M. Valorbe,PER,5
Mme de Dreux,PER,5
Combien,PER,5
Alfred Varin,PER,5
Monsieur Andermatt,PER,5
Bibliothèque nationale,ORG,5
Océan,LOC,4
Caudebec,LOC,4
Dudouis,PER,4
Baudru Désiré,PER,4
Guillaume Berlat,PER,4
Renaud,PER,4
Massol,LOC,4
Dreux-Soubise,MISC,4
boulevard Maillot,LOC,4
Étienne Varin,PER,4
Monsieur Lupin,PER,4
perle noire,LOC,4
Tiens,LOC,4
Georges Devanne,PER,4
Henri IV,PER,4
Reine,PER,3
Andrézy,PER,3
Rawson,PER,3
Rubens,LOC,3
Veuillez,PER,3
la Santé,LOC,3
Réveil,LOC,3
affaire Cahorn,LOC,3
Folenfant,PER,3
Crédit Lyonnais,ORG,3
Saint-Germain,ORG,3
Désiré,PER,3
- Dame,PER,3
Berlat,PER,3
Amiens,LOC,3
Delivet,PER,3
Mme Renaud,PER,3
Böhmer,PER,3
Raoul,PER,3
Saint-Martin,PER,3
Antoine,PER,3
Gil Blas,PER,3
de France,LOC,3
frères Varin,PER,3
État,LOC,3
Ludovic Imbert,PER,3
Rente,LOC,3
Zalti,LOC,3
comtesse d'Andillot,PER,3
Mlle de Sinclèves,PER,3
abbé Gélis,PER,3
Rollon,PER,3
Sully,PER,3
Horace Velmont,PER,3
Avez,LOC,2
R,MISC,2
marquis de Raverdan,PER,2
Bordeaux,LOC,2
Provence,LOC,2
Soudain,LOC,2
Bernard d'Andrézy,PER,2
ARSÈNE LUPIN,MISC,2
pays de Caux,LOC,2
Renaissance,PER,2
Louis XV,PER,2
Tenez,LOC,2
croyez,MISC,2
Excusez,MISC,2
Hein,MISC,2
Jules Bouvier,PER,2
Grand Journal,ORG,2
rue Saint-Jacques,LOC,2
rue de la Santé,LOC,2
prison de la Santé,LOC,2
M. Bouvier,PER,2
Mon Dieu,MISC,2
de la Santé,PER,2
Ternes,LOC,2
Seine,LOC,2
Muette,LOC,2
